observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,relevo_local,relevo_elevacao,relevo_declividade,relevo_posicao
#metadado>,Data da observação,Sistema de referência de coordenadas,Longitude,Latitude,Precisão das coordenadas,Fonte das coordenadas,País,Unidade federativa,Município,Tipo de amostragem,Quantidade de subamostras,Área amostral,Classificação do solo,Classe de relevo local,Elevação acima do nível do mar,Declividade,Posição na paisagem
#metadado>,-,-,m,m,m,-,-,-,-,-,-,m^2,-,-,m,%,-
L90,xx-xx-2011,EPSG:29192,478.072,7.415.409,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",plano,553,-,-
L91,xx-xx-2011,EPSG:29192,481.500,7.412.503,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",plano,557,-,topo
L92,xx-xx-2011,EPSG:29192,485.368,7.411.343,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,449,16,terço inferior
L93,xx-xx-2011,EPSG:29192,483.315,7.408.958,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa cascalhenta, A moderado",ondulado,493,11,terço superior
L94,xx-xx-2011,EPSG:29192,485.750,7.403.494,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,480,10,terço médio
L95,xx-xx-2011,EPSG:29192,483.551,7.401.678,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico típico, textura média, A chernozêmico",ondulado,519,15,terço superior
L96,xx-xx-2011,EPSG:29192,491.669,7.414.202,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico latossólico, textura muito argilosa, A moderado",ondulado,427,13,terço médio
L97,xx-xx-2011,EPSG:29192,491.747,7.412.219,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,435,4,terço superior
L98,xx-xx-2011,EPSG:29192,490.514,7.407.301,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,466,18,terço médio
L99,xx-xx-2011,EPSG:29192,491.529,7.405.580,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,456,12,terço superior
