observacao_id,camada_id,camada_nome,amostra_id,profund_sup,profund_inf,areia_xxx_xxx,silte_xxx_xxx,argila_xxx_xxx,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,ph_cacl2_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
#metadado>,Identificação da camada,Símbolo do horizonte,Código da amostra,Profundidade superior,Profundidade inferior,Areia total,Silte total,Argila total,P,Carbono orgânico,pH H2O,pH CaCl2,Al,H+Al,Ca,Mg,K,Soma de bases,Capacidade de troca de cátions ,Saturação por bases,Saturação por Al
#metadado>,-,-,-,cm,cm,dag/kg,dag/kg,dag/kg,mg/dm^3,g/dm^3,-,-,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,%,%
L85,2,Bw,1,60,80,"12,0","12,0","76,0","2,2","8,90","5,3",-,0,"4,96","3,12","1,97","0,07","5,16","10,12",51,0
L86,1,Ap,1,0,20,"10,0","21,0","69,0","17,4","17,80","6,3",-,0,"2,94","9,15","4,6","0,68","14,43","17,37",83,0
L86,2,Bt,1,40,60,"7,0","12,0","81,0","4,2","6,20","4,9",-,"0,06","5,76","4,85","2,26","0,07","7,18","12,94",55,1
L87,1,Ap,1,0,20,"65,0","18,0","17,0","41,9","20,50","5,3",-,0,"5,34",24,"17,68","0,5","42,18","47,52",89,0
L88,1,Ap,1,0,20,"10,0","13,0","77,0","15,3","15,30","4,7",-,"0,2","7,2","4,22","1,35","0,35","5,92","13,12",45,3
L88,2,Bw,1,50,70,"10,0","11,0","79,0","1,9","11,30","4,8",-,"0,12","6,68","3,35","1,27","0,23","4,85","11,53",42,2
L89,1,Ap,1,0,20,"18,0","27,0","55,0","2,4","24,00","5,5",-,0,"5,34","10,37","2,38","1,15","13,9","19,24",72,0
L89,2,Bt,1,40,60,"12,0","21,0","67,0",2,"17,90","5,5",-,0,"5,34","9,62","2,05","0,88","12,55","17,89",70,0
L9,1,A,1,0,20,-,-,-,"1,8","23,30","5,3",-,0,"6,2","7,75","2,26","0,44","10,45","16,65",63,0
L9,2,Bw,1,50,70,-,-,-,"4,4","9,30","4,8",-,"0,09","5,34","3,3","1,6","0,12","5,02","10,36",48,2
L90,1,Ap,1,0,20,"9,0","14,0","77,0","13,2","15,30","5,0",-,0,"6,2","5,4","1,76","0,16","7,32","13,52",54,0
L90,2,Bw,1,50,70,"10,0","11,0","80,0","2,7","10,50","4,8",-,"0,15","6,2","3,22","1,48","0,05","4,75","10,95",43,3
